都道府県ID,カテゴリID,スポット名,電話番号,Xアカウント,里親募集,譲渡会の開催,年齢制限
13,15,保護猫喫茶 necoma,+81 364128329,,1,0,0
13,15,猫カフェ きゃらふ,+81 362316050,Calaugh_asakusa,0,0,0
13,15,猫カフェＭＯＮＴＡ,+81 358307428,nekocafemonta,0,0,0
13,15,猫カフェ MOCHA（モカ）秋葉原店,+81 355775399,catcafeMOCHA,0,0,6
13,15,猫カフェ MOCHA （モカ）渋谷センター街店,+81 364553503,catcafeMOCHA,0,0,6
13,15,猫まるカフェ 上野店,+81 358262501,nekomaru_champ,1,0,0
13,15,猫カフェ MOCHA（モカ）原宿店,+81 364472665,catcafeMOCHA,0,0,6
13,15,保護猫カフェ たまゆら,+81 7085095639,CatcafeTamayura,1,0,0
13,15,猫カフェもふにゃん,+81 369132516,catcafemofunyan,0,0,0
13,15,猫カフェ MOCHA (モカ)池袋西口店,+81 359278828,catcafeMOCHA,0,0,6
13,15,えこねこ,+81 369144818,econeco13,1,0,0
13,15,猫カフェモカラウンジ 新宿店,+81 367098863,catcafeMOCHA,0,0,12
13,15,ねこ・ジャララ,+81 332582525,nekojalala,1,0,0
13,15,保護猫喫茶 要にゃんこ亭,+81 369059980,kanamenyankotei,1,0,0
13,15,猫カフェモカラウンジ池袋東口店,+81 369142699,catcafeMOCHA,0,0,12
13,15,保護猫カフェ「ネコリパブリック東京 お茶の水店」,+81 358268920,necorepublic,1,0,1
13,15,cat cafe にゃんこと,+81 362339662,catcafenyankoto,0,0,1
13,15,保護猫カフェMeooow!,+81 7083225630,meooow_cat1123,1,0,0
13,15,Cat Cafe てまりのおうち,+81 422235503,temarinoouchi,0,0,0
13,15,保護猫カフェ Miagolare (ミャゴラーレ),+81 363828105,CafeMiagolare,1,0,0
13,15,保護猫カフェ浅草ねこ園,+81 362317944,asakusanekoen,1,0,0
13,15,猫カフェ MOCHA（モカ） ラウンジ渋谷公園通り店,+81 362775745,catcafeMOCHA,0,0,12
13,15,谷中 宿木カフェ&レストラン(保護猫カフェ),+81 358090864,Yadorigi_Cafe,0,0,0
13,15,キャテリアム,+81 334688114,cateriam_airou,0,0,0
13,15,保護猫サロンCAT LIVING,+81 364212853,Catliving_tokyo,1,0,0
13,15,保護猫カフェ ネコリパブリック池袋店,+81 369140834,Neco_Ikebukuro,1,0,1
13,15,CATS&DOGS CAFE,+81 352477979,CATSandDOGS820,1,0,0
13,15,Cat cafe てまりのおしろ,+81 422275962,temarinoouchi,0,0,1
13,15,保護猫カフェ駒猫,+81 368768465,komanekocafe,1,0,0
13,15,僕と猫。秋葉原店,+81 362064446,bokunekoakb,0,0,0
13,15,ねこほーむ きゃりこ公園口,+81 422298353,catcafecalico,1,0,0
13,15,BAKENEKO CAFE 化猫茶屋,+81 361612929,bakenekocafe,0,0,0
13,15,きゃりこ 吉祥寺店,+81 422272117,calicomusashino,1,0,3
13,15,大塚シェルター 猫カフェ,+81 359511668,,1,1,0
13,15,ネコリパブリック御茶ノ水店,+81 358268920,Neco_Tokyo,1,0,1
13,15,CAT HOME GARDEN,+81 368769146,CATHOMEGARDEN1,1,0,10
13,15,猫カフェ「猫のために・・・」（にゃいるどはーと）,+81 339512922,NPO48681819,1,1,0
13,15,東京キャットガーディアン,+81 359511668,rain2255,1,0,0
13,15,一組限定個室猫カフェ 猫猫,+81 369143996,neko_maomao22,0,0,0
13,15,保護猫シェルター併設カフェ すあま商會,+81 369124532,suama_catscafe,1,0,0
13,15,nekochaya,+81 7055468407,nekochaya,1,0,0
13,15,ニャフェ・メランジェ,+81 354494024,nyafe,0,0,6
13,15,保護カフェCHACHA,+81 369147173,chachanyancafe,1,1,0
13,15,里親募集型保護猫カフェ 『拝啓ねこ様』,+81 7045403150,haikeinekosama,1,0,4
13,18,ねんねこ家,+81 338289779,nennekoyado,0,0,0
13,15,猫カフェMOCHA（モカ）イオンモール東久留米店,+81 424395899,catcafeMOCHA,0,0,3
13,15,ヒャクパーセントネコ,+81 358446520,,0,0,0
13,15,保護猫カフェ にゃんちゅ〜る,+81 7089849923,nyanchurucafe,1,0,0
13,20,よりみちカフェ にゃん&ピース,+81 334608249,cafe_nyan_peace,0,0,0
13,15,ANELLA CAFE(保護犬猫ふれあいカフェ)新宿店,+81 367706595,CafeAnella,0,0,1
13,20,カフェモフリー,+81 359358188,cafe_Mofree,0,0,0
13,15,ぬこぬこなびげーたー,+81 338890451,,0,0,1
