都道府県ID,カテゴリID,スポット名,電話番号,Xアカウント,里親募集,譲渡会の開催,年齢制限
13,24,猫スペース ファズ,+81 424441460,catspace_faz,1,0,0
13,24,ラフスペース,+81 424556945,,1,0,0
13,25,お湯どころ野川,+81 334882642,oyudokoronogawa,0,0,0
13,25,昭和湯,+81 425413122,akishimashowayu,0,0,0
13,15,谷保ねこ 猫のいる休憩室,+81 428489431,YahoNeko222,1,0,0
13,15,Hako bu neco八王子店,+81 426388822,hakobu_neco,1,0,0
13,15,猫カフェ コックンの別荘 八王子オーパ店,+81 426861550,cokkuncafe,0,0,1
13,15,Cat Café MOFF グランベリーパーク店,+81 428507636,Moff_grandberry,0,0,1
13,15,保護猫広場 ラブとハッピー,+81 9044579406,love_haapy_cat,1,1,0
13,15,保護猫カフェ きゃりこ武蔵野店,+81 422298353,,1,0,1
